Nome_estado,setor,emp,dep,sit,capital,desp_investimento,lucros,link,indicio_dependencia,tipo_indicio
São Paulo,OUTROS,COMPANHIA AMBIENTAL DO ESTADO DE SÃO PAULO,Dependente,ATIVA,169576390.56,66886409,-116331803.93,"https://cetesb,sp,gov,br/balancos-patrimoniais",não,NA
São Paulo,TRANSPORTE,COMPANHIA PAULISTA DE TRENS METROPOLITANOS,Dependente,ATIVA,18269248866.51,581237531.02,-432766889.91,"https://www,cptm,sp,gov,br/esg-consciente/Governanca/BalancosDemonstrativos/Relat%C3%B3rio%20Integrado%20CPTM%202022,zip",não,NA
São Paulo,PORTOS E HIDROVIAS,COMPANHIA DOCAS DE SÃO SEBASTIÃO,Dependente,ATIVA,17738161,100080.94,-15958215,NA,não,NA
São Paulo,TRANSPORTE,DESENVOLVIMENTO RODOVIÁRIO SA EM LIQUIDAÇÃO,Dependente,EM LIQUIDAÇÃO,1862660103.34,0,-526188724.88,NA,não,NA
São Paulo,INFORMÁTICA E TECNOLOGIA,INSTITUTO DE PESQUISAS TECNOLÓGICAS DO ESTADO DE SÃO PAULO SA,Dependente,ATIVA,288352918,1180837.59,-19842082.77,"ipt,br/institucional/governanca",não,NA
Sergipe,HABITAÇÃO E URBANIZAÇÃO,Companhia Estadual de Habitação e Obras Públicas,Dependente,ATIVA,515936758.6,64134.6,-1848815.28,NA,não,NA
Sergipe,DESENVOLVIMENTO REGIONAL,Companhia de Desenvolvimento Economico de Sergipe,Dependente,ATIVA,118019938,24762273,16864371,NA,não,NA
Sergipe,ABASTECIMENTO DE ALIMENTOS E OUTROS INSUMOS,Companhia de Desenvolvimento de Recursos Hídricos e Irrigação de Sergipe,Dependente,ATIVA,96690083.2,0,-194207.18,NA,não,NA
Sergipe,DESENVOLVIMENTO REGIONAL,Empresa de Desenvolvimento Sustentavel do Estado de Sergipe,Dependente,ATIVA,2395568.41,0,226071.34,"https://www,pronese,se,gov,br/transparencia",não,NA
Sergipe,TURISMO,Empresa Sergipana de Turismo SA,Dependente,ATIVA,34550951,0,26991.9,"https://www,se,gov,br/emsetur/emsetur_transparencia",não,NA
Sergipe,INFORMÁTICA E TECNOLOGIA DA INFORMAÇÃO,Empresa Sergipana de Tecnologia da Informação,Dependente,ATIVA,8775120.96,260123,619184.57,NA,não,NA
Sergipe,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Empresa de Desenvolvimento Agropecuário de Sergipe,Dependente,ATIVA,37572872.11,2768162.22,3141501.25,"https://www,emdagro,se,gov,br",não,NA
Sergipe,DESENVOLVIMENTO REGIONAL,Zona de Processamento de Exportação de Sergipe,Dependente,ATIVA,83650.15,0,561.52,NA,não,NA
Santa Catarina,HABITAÇÃO E URBANIZAÇÃO,COMPANHIA DE HABITAÇÃO DO ESTADO DE SANTA CATARINA,Dependente,EM LIQUIDAÇÃO,32300207,0,-9084027,NA,não,NA
Santa Catarina,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,Companhia Integrada de Desenvolvimento Agrícola de Santa Catarina,Dependente,ATIVA,42408423.68,26111393.99,-15059502.47,"https://www,cidasc,sc,gov,br/wp-content/uploads/2022/09/CAPP-2022,pdf",não,NA
Santa Catarina,PESQUISA E ASSISTÊNCIA TÉCNICA AGROPECUÁRIA,EMPRESA DE PESQUISA AGROPECUÁRIA E EXTENSÃO RURAL DE SANTA CATARINA,Dependente,ATIVA,169781641.53,25125721,-12140203,"https://transparencia,epagri,sc,gov,br/?page_id=919",não,NA
Santa Catarina,TURISMO,SANTA CATARINA TURISMO SA,Dependente,EM LIQUIDAÇÃO,3528671,0,-233755.99,NA,não,NA
Roraima,DESENVOLVIMENTO REGIONAL,AGENCIA DE FOMENTO DO ESTADO DE RORAIMA SA,Dependente,ATIVA,16164393.11,0,345000,"https://desenvolve,rr,gov,br/index,php/downloads",não,NA
Roraima,ENERGIA,COMPANHIA ENERGÉTICA DE RORAIMA  CERR,Dependente,EM LIQUIDAÇÃO,1313101397.05,0,-13775134.35,"https://www,imprensaoficial,rr,gov,br/app/_visualizar-doe/",não,NA
Roraima,DESENVOLVIMENTO REGIONAL,COMPANHIA DE DESENVOLVIMENTO DE RORAIMA  CODESAIMA,Dependente,ATIVA,533496172.04,0,2954332.6,NA,não,NA
